,,,,,,,,,,,,,,,,,
BEER,CATEGORY,DESCRIPTION,ABV,BREWED,PRICE,,,,,,,,,,,,
Virginia Beer,,,,,,,,,,,,,,,,,
,,,,,Small,Large,Growler,,,,,,,,,,
Paulaner - Original Munchner,Lager,This golden German lager is a staple across Europe. So much that it is one of the five beers featured every year at Oktoberfest. Prost!,4.90%,Germany,$4.00,$6.75,$15.00,,,,,,,,,,
Timmerman's - Framboise,Lambic,"This Raspberry Lambic will surprise you with such a pleasant discovery of taste and aroma. Not too sweet and not too sour, with still the underlying taste of an exceptionally good beer.",4.50%,Belgium,,$9.50,$26.00,,,,,,,,,,
Long Trail - Pale Ale,Pale Ale,Long Trail Pale Ale is brewed with the finest all natural ingredients and award winning Vermont water. This classic American style pale ale features a modest malt body and a well balanced citrus-pine hop aroma.,5.20%,Vermont,$4.00,$6.75,$15.00,,,,,,,,,,
Oskar Blues - Dale's Pale Ale,Pale Ale,"America's first hand-canned craft beer is voluminously hopped that delivers a hoppy nose, assertive-but-balanced flavors of pale malts and hops from start to finish.",6.50%,Colorado,$4.00,$6.75,$15.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
